,index,GMAT,GPA,Stanford,Columbia,Kellogg,Booth,Yale,NYU,Tuck,Cornell,Berkeley,Wharton,UCLA,Duke,INSEAD,Harvard,Michigan,Sloan,STEM_MAJOR,UNDER_REP,IVY_MIT_STANFORD_UNDERGRAD,FEMALE
207,92,720.0,3.8,-10.0,-20.0,,-20.0,,-20.0,,,,-20.0,,,40.0,-10.0,,,0.0,0.0,0.0,0.0
208,93,720.0,3.4,10.0,25.0,30.0,30.0,,,,,,32.5,,,,10.0,,30.0,1.0,0.0,0.0,0.0
209,94,680.0,3.2,,,,,,,,,,40.0,,,65.0,30.0,,,0.0,0.0,0.0,
210,95,740.0,3.7,32.5,50.0,,50.0,,,50.0,,,,,,,40.0,,,0.0,0.0,1.0,
211,96,670.0,3.95,20.0,37.5,45.0,50.0,,,50.0,,,,,,,30.0,,,0.0,0.0,0.0,0.0
212,97,720.0,3.56,20.0,40.0,45.0,45.0,50.0,45.0,,,,35.0,,,,30.0,,40.0,0.0,0.0,1.0,0.0
213,98,740.0,2.4,,20.0,,30.0,,,,,,25.0,,30.0,,15.0,30.0,,0.0,0.0,0.0,0.0
214,99,710.0,3.4,25.0,,,,,,50.0,,,50.0,,,,40.0,,,0.0,0.0,1.0,0.0
215,100,,,,,,,,40.0,,,20.0,25.0,,,,,,,0.0,0.0,0.0,
216,101,720.0,3.7,15.0,45.0,,,,,,,,45.0,,,,25.0,,30.0,0.0,0.0,1.0,
217,102,720.0,3.72,,40.0,40.0,40.0,,50.0,,,,40.0,,,,25.0,,,0.0,0.0,0.0,
218,103,730.0,3.7,17.5,40.0,40.0,35.0,,,,,50.0,37.5,,,,27.5,,30.0,0.0,0.0,1.0,
219,104,680.0,3.48,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
220,105,630.0,3.43,10.0,,,20.0,,25.0,20.0,,,20.0,25.0,40.0,,10.0,,,0.0,0.0,0.0,0.0
221,106,710.0,3.7,10.0,,,,,,,,20.0,,30.0,,,12.5,,30.0,0.0,0.0,1.0,0.0
222,107,740.0,3.0,,30.0,,,40.0,40.0,,40.0,,,,,,,,30.0,1.0,0.0,0.0,0.0
223,108,740.0,,-10.0,,20.0,20.0,20.0,20.0,,,,15.0,,,,10.0,,,1.0,0.0,0.0,
224,109,760.0,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,
225,110,720.0,3.5,20.0,,50.0,,,,45.0,,,35.0,,,,35.0,,,0.0,0.0,0.0,0.0
